language,source,target,reference,BLEU_score
en,I want to cancel my order,"['i', 'am', 'sorry', 'to', 'hear', 'that,', 'can', 'you', 'provide', 'me', 'with', 'your', 'order', 'number,', 'please?']","[['can', 'you', 'provide', 'me', 'with', 'your', 'order', 'number,', 'please?']]",0.551200336
en,I want to cancel my order,"[""i've"", 'understood', 'you', 'want', 'to', 'cancel', 'your', 'order.', 'can', 'you', 'please', 'provide', 'me', 'with', 'your', 'order', 'number', 'so', 'i', 'can', 'assist', 'you', 'with', 'the', 'cancellation', 'process?']","[['can', 'you', 'please', 'provide', 'me', 'with', 'your', 'order', 'number', 'so', 'i', 'can', 'assist', 'you', 'with', 'the', 'cancellation', 'process?']]",0.672620436
en,I want to cancel my order,"['i', 'see', 'that', ""you'd"", 'like', 'to', 'cancel', 'your', 'order.', 'to', 'assist', 'you', 'with', 'this,', 'could', 'you', 'please', 'provide', 'me', 'with', 'your', 'order', 'number', 'so', 'i', 'can', 'guide', 'you', 'through', 'the', 'cancellation', 'process', 'effectively?']","[['to', 'assist', 'you', 'with', 'this,', 'could', 'you', 'please', 'provide', 'me', 'with', 'your', 'order', 'number', 'so', 'i', 'can', 'guide', 'you', 'on', 'how', 'to', 'cancel', 'your', 'order']]",0.799341809
en,I want to cancel my order,"['i', 'see', 'that', ""you'd"", 'like', 'to', 'cancel', 'your', 'order.', 'to', 'assist', 'you', 'with', 'this,', 'could', 'you', 'please', 'provide', 'me', 'with', 'your', 'order', 'number', 'so', 'i', 'can', 'guide', 'you', 'through', 'the', 'cancellation', 'process', 'effectively?']","[['i', 'see', 'you', 'want', 'to', 'cancel', 'you', 'want', 'to', 'cancel', 'your', 'order.', 'provide', 'me', 'with', 'your', 'order', 'number', 'so', 'i', 'can', 'quide', 'you', 'on', 'the', 'cancellation', 'process']]",0.784924427
en,I want to cancel my order,"['i', 'see', 'that', ""you'd"", 'like', 'to', 'cancel', 'your', 'order.', 'to', 'assist', 'you', 'with', 'this,', 'could', 'you', 'please', 'provide', 'me', 'with', 'your', 'order', 'number', 'so', 'i', 'can', 'guide', 'you', 'through', 'the', 'cancellation', 'process', 'effectively?']","[['i', 'see', 'that', ""you'd"", 'like', 'to', 'cancel', 'your', 'order.', 'to', 'assist', 'you', 'with', 'this,', 'could', 'you', 'please', 'provide', 'me', 'with', 'your', 'order', 'number', 'so', 'i', 'can', 'guide', 'you', 'through', 'the', 'cancellation', 'process']]",0.968213234
en,I want to cancel my order,"['i', 'see', 'that', ""you'd"", 'like', 'to', 'cancel', 'your', 'order.', 'to', 'assist', 'you', 'with', 'this,', 'could', 'you', 'please', 'provide', 'me', 'with', 'your', 'order', 'number', 'so', 'i', 'can', 'guide', 'you', 'through', 'the', 'cancellation', 'process', 'effectively?']","[['to', 'help', 'with', 'the', 'cancellation', 'process', 'of', 'your', 'order,', 'could', 'you', 'please', 'provide', 'me', 'with', 'your', 'order', 'number?']]",0.658864759
en,I want to cancel my order,"['can', 'you', 'please', 'provide', 'your', 'order', 'number?']","[['please', 'provide', 'your', 'order', 'number?']]",0.694788153
en,I want to cancel my order,"['can', 'you', 'please', 'provide', 'your', 'order', 'number?']","[['can', 'you', 'provide', 'your', 'order', 'number?']]",0.788923022
en,I want to cancel my order,"['can', 'you', 'please', 'provide', 'your', 'order', 'number?']","[['can', 'you', 'please', 'provide', 'the', 'order', 'number?']]",0.788923022
en,I want to cancel my order,"['can', 'you', 'please', 'provide', 'your', 'order', 'number?']","[['can', 'you', 'please', 'provide', 'your', 'order', 'number']]",0.809106712
en,I want to cancel my order,"['can', 'you', 'please', 'provide', 'your', 'order', 'number?']","[['i', 'will', 'need', 'your', 'order', 'number']]",6.97E-155
en,I want to cancel my order,"['can', 'you', 'please', 'provide', 'your', 'order', 'number?']","[['please', 'provide', 'me', 'your', 'order', 'number']]",0.85444999
en,I want to cancel my order,"['can', 'you', 'please', 'provide', 'your', 'order', 'number?']","[['please', 'provide', 'your', 'order', 'number']]",0.911133617
en,The order number is 123456,"['thank', 'you.', 'your', 'order', 'is', 'on', 'its', 'way']","[['your', 'order', 'is', 'on', 'its', 'way']]",0.680374933
